# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Dieren
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visnetten voor aquariums > Sokkennetten
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visnetten voor aquariums > Standaard netten
gid://shopify/TaxonomyCategory/ap-2-4-7          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Kiezels en voedingsbodem voor aquaria
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Kiezels en voedingsbodem voor aquaria > Aquariumgrind
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Kiezels en voedingsbodem voor aquaria > Aragonietzand
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Kiezels en voedingsbodem voor aquaria > Verbrijzelde koralen
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Kiezels en voedingsbodem voor aquaria > Glazen stenen
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Kiezels en voedingsbodem voor aquaria > Kiezels
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Kiezels en voedingsbodem voor aquaria > Steentjes
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Kiezels en voedingsbodem voor aquaria > Zand
gid://shopify/TaxonomyCategory/ap-2-4-8          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariumverlichting
gid://shopify/TaxonomyCategory/ap-2-4-9          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Overloopbakken voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-10         : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariummeubels
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariummeubels > Boxframemeubels
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariummeubels > Kastmeubels
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariummeubels > Dubbele tankmeubels
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariummeubels > Smeedijzeren meubels
gid://shopify/TaxonomyCategory/ap-2-4-11         : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Temperatuurregelaars voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Temperatuurregelaars voor aquariums > Analoge temperatuurregelaars
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Temperatuurregelaars voor aquariums > Digitale temperatuurregelaars
gid://shopify/TaxonomyCategory/ap-2-4-12         : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Behandeling van aquariumwater
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Behandeling van aquariumwater > Algenbestrijding
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Behandeling van aquariumwater > Ammoniakverwijderaars
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Behandeling van aquariumwater > Schimmel- en bacteriële behandeling
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Behandeling van aquariumwater > Nitraatverwijderaars
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Behandeling van aquariumwater > pH-regelaars
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Behandeling van aquariumwater > Kraanwaterontgifters
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Behandeling van aquariumwater > Waterzuiveraars
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Behandeling van aquariumwater > Waterconditioners
gid://shopify/TaxonomyCategory/ap-2-4-13         : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Aquariums
gid://shopify/TaxonomyCategory/ap-2-4-14         : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Voeding voor waterplanten
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Voeding voor waterplanten > Korrelvoeding
