# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : 동물/반려동물 용품
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 장식 용품 > 수족관 돌
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 장식 용품 > 수족관 기질
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 장식 용품 > 인조 수초
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 장식 용품 > 공기방울 장식
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 장식 용품 > 유목
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 장식 용품 > 장식품
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 장식 용품 > 난파선
gid://shopify/TaxonomyCategory/ap-2-4-5          : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 필터
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 필터 > 외부/캐니스터 수족관 필터
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 필터 > 배면 걸이식 수족관 필터
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 필터 > 내부 수족관 필터
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 필터 > 스펀지 수족관 필터
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 필터 > 저면 수족관 필터
gid://shopify/TaxonomyCategory/ap-2-4-6          : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 어망
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 어망 > 뜰채
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 어망 > 새우용 뜰채
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 어망 > 야구 네트
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 어망 > 표준 뜰채
gid://shopify/TaxonomyCategory/ap-2-4-7          : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 자갈/바닥재
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 자갈/바닥재 > 수족관 소일
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 자갈/바닥재 > 아라고나이트 모래
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 자갈/바닥재 > 뼈산호
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 자갈/바닥재 > 유리석
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 자갈/바닥재 > 자갈
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 자갈/바닥재 > 조약돌
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 자갈/바닥재 > 모래
gid://shopify/TaxonomyCategory/ap-2-4-8          : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 조명
gid://shopify/TaxonomyCategory/ap-2-4-9          : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 오버플로 박스
gid://shopify/TaxonomyCategory/ap-2-4-10         : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 스탠드
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 스탠드 > 박스프레임 스탠드
