# Shopify Product Taxonomy - Categories: 2025-05-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Животные и товары для питомцев
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Распылители-камни и диффузоры для аквариума > Настенные распылители-камни
gid://shopify/TaxonomyCategory/ap-2-4-3          : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для чистки аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для чистки аквариумов > Скребки для удаления водорослей
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для чистки аквариумов > Перчатки для чистки аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для чистки аквариумов > Щетки для чистки
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для чистки аквариумов > Растворы для чистки
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для чистки аквариумов > Пылесосы-грунтоочистители
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для чистки аквариумов > Губки для чистки
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для чистки аквариумов > Сифоны
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для чистки аквариумов > Очистители для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-4          : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для декорирования аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для декорирования аквариумов > Фоны для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для декорирования аквариумов > Гроты и укрытия для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для декорирования аквариумов > Камни для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для декорирования аквариумов > Грунты для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для декорирования аквариумов > Искусственные растения
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для декорирования аквариумов > Элементы декора с пузырьками
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для декорирования аквариумов > Коряги
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для декорирования аквариумов > Другие элементы декора
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Товары для декорирования аквариумов > Затонувшие корабли
gid://shopify/TaxonomyCategory/ap-2-4-5          : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Фильтры для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Фильтры для аквариумов > Внешние и канистровые фильтры для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Фильтры для аквариумов > Рюкзачные (навесные) фильтры для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Фильтры для аквариумов > Внутренние фильтры для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Фильтры для аквариумов > Аэрлифтные фильтры (губки) для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Фильтры для аквариумов > Донные фильтры для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-6          : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Сачки для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Сачки для аквариумов > Сачки для рыб
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Сачки для аквариумов > Сачки для креветок
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Сачки для аквариумов > Сачки-чулки
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Сачки для аквариумов > Стандартные сачки
gid://shopify/TaxonomyCategory/ap-2-4-7          : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Гравий и грунт для аквариумов
