# Shopify Product Taxonomy - Categories: 2024-10-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Tiere & Tierbedarf
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Temperaturregler für Aquarien > Analoge Temperaturregler
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Temperaturregler für Aquarien > Digitale Temperaturregler
gid://shopify/TaxonomyCategory/ap-2-4-12         : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasseraufbereitungsgeräte
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasseraufbereitungsgeräte > Algenbekämpfung
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasseraufbereitungsgeräte > Ammoniakentferner
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasseraufbereitungsgeräte > Pilz- und Bakterienbekämpfung
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasseraufbereitungsgeräte > Nitratentferner
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasseraufbereitungsgeräte > PH-Einsteller
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasseraufbereitungsgeräte > Leitungswasser-Entgiftungsmittel
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasseraufbereitungsgeräte > Wasserklärmittel
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasseraufbereitungsgeräte > Wasseraufbereiter
gid://shopify/TaxonomyCategory/ap-2-4-13         : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquarien
gid://shopify/TaxonomyCategory/ap-2-4-14         : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasserpflanzendünger
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasserpflanzendünger > Granulatdünger
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasserpflanzendünger > Flüssigdünger
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasserpflanzendünger > Pulverdünger
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Wasserpflanzendünger > Tablettendünger
gid://shopify/TaxonomyCategory/ap-2-4-15         : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischfutterautomaten
gid://shopify/TaxonomyCategory/ap-2-4-16         : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischfutter
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischfutter > Algenwaffeln
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischfutter > Betta-Futter
gid://shopify/TaxonomyCategory/ap-2-4-16-3       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischfutter > Buntbarschfutter
gid://shopify/TaxonomyCategory/ap-2-4-16-4       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischfutter > Trockenes Fischfutter
gid://shopify/TaxonomyCategory/ap-2-4-16-5       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischfutter > Gefriergetrocknetes Futter
gid://shopify/TaxonomyCategory/ap-2-4-16-6       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischfutter > Gefrorenes Futter
gid://shopify/TaxonomyCategory/ap-2-4-16-7       : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Fischfutter > Goldfischfutter
