# Shopify Product Taxonomy: 0.3.0
gid://shopify/Taxonomy/Category/aa              : Apparel & Accessories
gid://shopify/Taxonomy/Category/aa-1-7-6        : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Sleepwear
gid://shopify/Taxonomy/Category/aa-1-7-7        : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Swimwear
gid://shopify/Taxonomy/Category/aa-1-7-7-4      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Swimwear > Burkinis
gid://shopify/Taxonomy/Category/aa-1-7-7-5      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Swimwear > Classic Bikinis
gid://shopify/Taxonomy/Category/aa-1-7-7-6      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Swimwear > Cover Ups
gid://shopify/Taxonomy/Category/aa-1-7-7-20     : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Swimwear > One-Piece Swimsuits
gid://shopify/Taxonomy/Category/aa-1-7-7-2      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Swimwear > Swim Boxers
gid://shopify/Taxonomy/Category/aa-1-7-7-14     : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Swimwear > Swim Dresses
gid://shopify/Taxonomy/Category/aa-1-7-7-21     : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Swimwear > Swimwear Tops
gid://shopify/Taxonomy/Category/aa-1-7-8        : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops
gid://shopify/Taxonomy/Category/aa-1-7-8-1      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops > Blouses
gid://shopify/Taxonomy/Category/aa-1-7-8-2      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops > Bodysuits
gid://shopify/Taxonomy/Category/aa-1-7-8-3      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops > Cardigans
gid://shopify/Taxonomy/Category/aa-1-7-8-4      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops > Nursing Shirts
gid://shopify/Taxonomy/Category/aa-1-7-8-5      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops > Overshirts
gid://shopify/Taxonomy/Category/aa-1-7-8-7      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops > Shirts
gid://shopify/Taxonomy/Category/aa-1-7-8-8      : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops > T-Shirts
gid://shopify/Taxonomy/Category/aa-1-7-8-11     : Apparel & Accessories > Clothing > Maternity Clothing > Maternity Tops > Tunics
gid://shopify/Taxonomy/Category/aa-1-7-1        : Apparel & Accessories > Clothing > Maternity Clothing > Nursing Bras
gid://shopify/Taxonomy/Category/aa-1-8          : Apparel & Accessories > Clothing > Men's Undergarments
gid://shopify/Taxonomy/Category/aa-1-8-1        : Apparel & Accessories > Clothing > Men's Undergarments > Men's Long Johns
gid://shopify/Taxonomy/Category/aa-1-8-2        : Apparel & Accessories > Clothing > Men's Undergarments > Men's Undershirts
gid://shopify/Taxonomy/Category/aa-1-8-3        : Apparel & Accessories > Clothing > Men's Undergarments > Men's Underwear
gid://shopify/Taxonomy/Category/aa-1-8-3-2      : Apparel & Accessories > Clothing > Men's Undergarments > Men's Underwear > Boxer Briefs
gid://shopify/Taxonomy/Category/aa-1-8-3-3      : Apparel & Accessories > Clothing > Men's Undergarments > Men's Underwear > Boxer Shorts
gid://shopify/Taxonomy/Category/aa-1-8-3-4      : Apparel & Accessories > Clothing > Men's Undergarments > Men's Underwear > Briefs
gid://shopify/Taxonomy/Category/aa-1-8-3-5      : Apparel & Accessories > Clothing > Men's Undergarments > Men's Underwear > Jockstraps
gid://shopify/Taxonomy/Category/aa-1-8-3-6      : Apparel & Accessories > Clothing > Men's Undergarments > Men's Underwear > Midway Briefs
gid://shopify/Taxonomy/Category/aa-1-8-3-7      : Apparel & Accessories > Clothing > Men's Undergarments > Men's Underwear > Thongs
