# Shopify Product Taxonomy - Mappings: 0.18.0
# Format:
# product_category_id: {input_product_category_id}, full_name: {full_name} => product_category_id: {output_product_category_id}, full_name: {full_name}

product_category_id: gid://shopify/TaxonomyCategory/133, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/134, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/135, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/136, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/137, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/138, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/139, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/140, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1-8-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/141, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/142, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1-1-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/143, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/144, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1-8-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/145, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/146, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/147, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/148, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/149, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/150, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/151, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/152, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/153, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/154, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-6, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/155, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-7, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/156, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-8, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/157, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-9, full_name: TBD
