# Shopify Product Taxonomy - Categories: 2025-11-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Gyvūnai ir prekės naminiams gyvūnams
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų filtrai > Požvirgždiniai akvariumų filtrai
gid://shopify/TaxonomyCategory/ap-2-4-6          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Tinkleliai akvariuminėms žuvims
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Tinkleliai akvariuminėms žuvims > Graibštai
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Tinkleliai akvariuminėms žuvims > Tinkleliai krevetėms
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Tinkleliai akvariuminėms žuvims > Pailgi tinkleliai
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Tinkleliai akvariuminėms žuvims > Standartiniai tinkleliai
gid://shopify/TaxonomyCategory/ap-2-4-7          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų žvirgždas ir substratai
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų žvirgždas ir substratai > Žemė akvariumams
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų žvirgždas ir substratai > Aragonito smėlis
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų žvirgždas ir substratai > Susmulkinti koralai
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų žvirgždas ir substratai > Stikliniai akmenukai
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų žvirgždas ir substratai > Žvirgždas
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų žvirgždas ir substratai > Akmenukai
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų žvirgždas ir substratai > Smėlis
gid://shopify/TaxonomyCategory/ap-2-4-8          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų apšvietimas
gid://shopify/TaxonomyCategory/ap-2-4-9          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų perpildymo dėžutės
gid://shopify/TaxonomyCategory/ap-2-4-10         : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų stovai
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų stovai > Rėminiai stovai
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų stovai > Spintelių tipo stovai
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų stovai > Dvigubi akvariumų stovai
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės žuvims ir kitiems vandens gyvūnams > Akvariumų stovai > Kalti geležiniai stovai
