# Shopify Product Taxonomy - Categories: 0.18.0
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Animaux et articles pour animaux de compagnie
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Décorations d’aquariums > Substrats pour aquariums
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Décorations d’aquariums > Plantes artificielles
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Décorations d’aquariums > Décorations à bulles
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Décorations d’aquariums > Bois flotté
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Décorations d’aquariums > Décorations
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Décorations d’aquariums > Épaves
gid://shopify/TaxonomyCategory/ap-2-4-5          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Filtres pour aquariums
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Filtres pour aquariums > Filtres d'aquarium externes et à cartouche
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Filtres pour aquariums > Filtres d'aquarium suspendus (HOB)
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Filtres pour aquariums > Filtres internes d'aquarium
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Filtres pour aquariums > Filtres d'aquarium à éponge
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Filtres pour aquariums > Filtres d'aquarium sous gravier
gid://shopify/TaxonomyCategory/ap-2-4-6          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Épuisettes pour aquariums
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Épuisettes pour aquariums > Épuisettes
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Épuisettes pour aquariums > Épuisettes à crevettes
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Épuisettes pour aquariums > Filets à chaussettes
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Épuisettes pour aquariums > Épuisettes standards
gid://shopify/TaxonomyCategory/ap-2-4-7          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Gravier et substrats pour aquariums
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Gravier et substrats pour aquariums > Sol pour aquarium
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Gravier et substrats pour aquariums > Sable d'aragonite
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Gravier et substrats pour aquariums > Coraux écrasés
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Gravier et substrats pour aquariums > Pierres de verre
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Gravier et substrats pour aquariums > Gravier
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Gravier et substrats pour aquariums > Galets
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Gravier et substrats pour aquariums > Sable
gid://shopify/TaxonomyCategory/ap-2-4-8          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Éclairage pour aquariums
gid://shopify/TaxonomyCategory/ap-2-4-9          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Colonnes de débordement pour aquariums
gid://shopify/TaxonomyCategory/ap-2-4-10         : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Supports pour aquariums
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Supports pour aquariums > Supports de cadre en boîte
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Supports pour aquariums > Supports à armoire
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Supports pour aquariums > Supports pour aquariums doubles
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Supports pour aquariums > Supports en fer forgé
gid://shopify/TaxonomyCategory/ap-2-4-11         : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Commandes de température pour aquariums
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Commandes de température pour aquariums > Commandes de température analogiques
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Commandes de température pour aquariums > Commandes de température numériques
gid://shopify/TaxonomyCategory/ap-2-4-12         : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Produits d'entretien pour aquariums
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Produits d'entretien pour aquariums > Contrôle des algues
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Produits d'entretien pour aquariums > Dissolvants d'ammoniac
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Produits d'entretien pour aquariums > Traitements fongiques et bactériens
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Produits d'entretien pour aquariums > Dissolvants de nitrate
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Produits d'entretien pour aquariums > Ajusteurs de pH
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Produits d'entretien pour aquariums > Détoxifiants d’eau du robinet
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Produits d'entretien pour aquariums > Clarificateurs d'eau
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Produits d'entretien pour aquariums > Conditionneurs d'eau
gid://shopify/TaxonomyCategory/ap-2-4-13         : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Aquariums
gid://shopify/TaxonomyCategory/ap-2-4-14         : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Engrais pour plantes aquatiques
